eps,sample_id,l2_norm,cpop,log_l2,log_cpop
0.0,0,0.0,0.1865289211273193,,-0.7292538216985922
0.0,1,0.0,0.0566404163837432,,-1.2468735626541394
0.0,2,0.0,0.0888646841049194,,-1.0512707985979142
0.0,3,0.0,0.1388817727565765,,-0.8573547485797
0.0,4,0.0,0.0698172599077224,,-1.1560371997829062
0.0,5,0.0,0.28357994556427,,-0.5473244851911283
0.0,6,0.0,0.0596707910299301,,-1.2242382048631826
0.0,7,0.0,0.1267004311084747,,-0.8972219073919088
0.0,8,0.0,0.029216319322586,,-1.5343744974563378
0.0,9,0.0,0.1538376361131668,,-0.8129374021373291
0.0,10,0.0,0.2465032637119293,,-0.6081773262743857
0.0,11,0.0,0.0273128002882003,,-1.5636337708464565
0.0,12,0.0,0.1152941733598709,,-0.9381926401606054
0.0,13,0.0,0.2138692289590835,,-0.669851696282123
0.0,14,0.0,0.1265453994274139,,-0.8977536390446927
0.0,15,0.0,0.1596234142780304,,-0.7969034040509835
0.0,16,0.0,0.0984457433223724,,-1.0068030575001756
0.0,17,0.0,0.0432425737380981,,-1.3640884653433933
0.0,18,0.0,0.1336654275655746,,-0.8739809080640271
0.0,19,0.0,0.219995379447937,,-0.6575864405475086
0.0,20,0.0,0.6505774259567261,,-0.18670101014810048
0.0,21,0.0,0.1071689426898956,,-0.9699310539399885
0.0,22,0.0,0.3190869688987732,,-0.49609093147215655
0.0,23,0.0,0.1501456350088119,,-0.8234872889671099
0.0,24,0.0,0.189818724989891,,-0.7216609480801444
0.0,25,0.0,0.154398500919342,,-0.811356920616981
0.0,26,0.0,0.0805141478776931,,-1.094127799068882
0.0,27,0.0,0.0850526541471481,,-1.070312129276866
0.0,28,0.0,0.0359255224466323,,-1.4445969074236693
0.0,29,0.0,0.1026463657617569,,-0.9886564224020623
0.0,30,0.0,0.1954170167446136,,-0.7090376209831271
0.0,31,0.0,0.080962523818016,,-1.0917159621748094
0.0,32,0.0,0.1389784514904022,,-0.8570525315752617
0.0,33,0.0,0.1278496533632278,,-0.8933004451319084
0.0,34,0.0,0.2595305442810058,,-0.585811522470363
0.0,35,0.0,0.1770434230566024,,-0.7519202021071086
0.0,36,0.0,0.0292299538850784,,-1.5341718698109448
0.0,37,0.0,0.2104140073060989,,-0.6769253524781016
0.0,38,0.0,0.2756734490394592,,-0.5596050601217355
0.0,39,0.0,0.1780367046594619,,-0.7494904528160282
