classifier,metric,label,score
resnet50,cpop,0,0.033678799867630005
resnet50,cpop,1,0.021708697080612183
resnet50,raw_var,0,96828952.0
resnet50,raw_var,1,57630184.0
resnet50,score_norm,0,189.45835876464844
resnet50,score_norm,1,182.72665405273438
resnet50,cpop,0,0.09812543541193008
resnet50,cpop,1,0.037484876811504364
resnet50,raw_var,0,592220544.0
resnet50,raw_var,1,259500304.0
resnet50,score_norm,0,266.07183837890625
resnet50,score_norm,1,293.61468505859375
resnet50,cpop,0,0.09937281161546707
resnet50,cpop,1,0.0394100546836853
resnet50,raw_var,0,441734016.0
resnet50,raw_var,1,215774304.0
resnet50,score_norm,0,228.3451385498047
resnet50,score_norm,1,261.20245361328125
resnet50,cpop,0,0.04330208897590637
resnet50,cpop,1,0.024395450949668884
resnet50,raw_var,0,183224896.0
resnet50,raw_var,1,100806992.0
resnet50,score_norm,0,228.37203979492188
resnet50,score_norm,1,227.546142578125
resnet50,cpop,0,0.07706846296787262
resnet50,cpop,1,0.033248014748096466
resnet50,raw_var,0,195594912.0
resnet50,raw_var,1,115772704.0
resnet50,score_norm,0,171.59884643554688
resnet50,score_norm,1,207.3896942138672
resnet50,cpop,0,0.1338518261909485
resnet50,cpop,1,0.040505193173885345
resnet50,raw_var,0,698095104.0
resnet50,raw_var,1,282180448.0
resnet50,score_norm,0,241.97837829589844
resnet50,score_norm,1,294.3774108886719
resnet50,cpop,0,0.09288444370031357
resnet50,cpop,1,0.041267216205596924
resnet50,raw_var,0,454789472.0
resnet50,raw_var,1,239480000.0
resnet50,score_norm,0,239.45616149902344
resnet50,score_norm,1,267.94329833984375
resnet50,cpop,0,0.16196483373641968
resnet50,cpop,1,0.05395304411649704
resnet50,raw_var,0,820652096.0
resnet50,raw_var,1,378172704.0
resnet50,score_norm,0,233.48741149902344
resnet50,score_norm,1,293.62493896484375
resnet50,cpop,0,0.21990680694580078
resnet50,cpop,1,0.04478312283754349
resnet50,raw_var,0,771443520.0
resnet50,raw_var,1,289297248.0
resnet50,score_norm,0,185.41275024414062
resnet50,score_norm,1,283.2413330078125
resnet50,cpop,0,0.6510064601898193
resnet50,cpop,1,0.04854406416416168
resnet50,raw_var,0,2163589888.0
resnet50,raw_var,1,405722080.0
resnet50,score_norm,0,96.87570190429688
resnet50,score_norm,1,322.295166015625
resnet50,cpop,0,0.29273688793182373
resnet50,cpop,1,0.05988813191652298
resnet50,raw_var,0,1131726208.0
resnet50,raw_var,1,424288480.0
resnet50,score_norm,0,183.3931121826172
resnet50,score_norm,1,294.8349304199219
resnet50,cpop,0,0.04600647836923599
resnet50,cpop,1,0.026465974748134613
resnet50,raw_var,0,131677416.0
resnet50,raw_var,1,81426208.0
resnet50,score_norm,0,187.12025451660156
resnet50,score_norm,1,196.05938720703125
resnet50,cpop,0,0.10721045732498169
resnet50,cpop,1,0.039622969925403595
resnet50,raw_var,0,723418560.0
resnet50,raw_var,1,310357760.0
resnet50,score_norm,0,281.5655822753906
resnet50,score_norm,1,312.4347229003906
resnet50,cpop,0,0.09245691448450089
resnet50,cpop,1,0.03682073950767517
resnet50,raw_var,0,385326432.0
resnet50,raw_var,1,193919408.0
resnet50,score_norm,0,220.47911071777344
resnet50,score_norm,1,255.76425170898438
resnet50,cpop,0,0.318437784910202
resnet50,cpop,1,0.0454087033867836
resnet50,raw_var,0,1430625024.0
resnet50,raw_var,1,356246560.0
resnet50,score_norm,0,192.58311462402344
resnet50,score_norm,1,312.60003662109375
resnet50,cpop,0,0.1497834026813507
resnet50,cpop,1,0.044342197477817535
resnet50,raw_var,0,686757312.0
resnet50,raw_var,1,290708992.0
resnet50,score_norm,0,223.5569305419922
