classifier,arch_type,eps255,sid,label,cpop,fs,lid,lid_ext,fs_bit1,fs_bit2,fs_bit3,fs_bit5,fs_median3,fs_median5,fs_avgpool3
resnet50,CNN,2,0,0,-0.18649113178253174,0.7092857360839844,22.63553237915039,22.63553237915039,1.2379684448242188,0.5164462327957153,0.6513913869857788,0.16529785096645355,0.30357861518859863,0.4580988883972168,0.7092857360839844
resnet50,CNN,2,0,1,-0.10315488278865814,0.8928689360618591,42.01768112182617,42.01768112182617,1.9858067035675049,1.7112393379211426,0.77199786901474,0.0033649695105850697,0.4366430640220642,1.5717235803604126,0.8928689360618591
resnet50,CNN,2,1,0,-0.05657263100147247,0.3527047336101532,58.95521926879883,58.95521926879883,0.262978732585907,0.2523539960384369,0.2719852030277252,0.06943483650684357,0.21119502186775208,0.8279147148132324,0.3527047336101532
resnet50,CNN,2,1,1,-0.046163275837898254,1.4701988697052002,85.99347686767578,85.99347686767578,1.8011873960494995,1.5422911643981934,1.4701988697052002,0.02126156911253929,0.5948343873023987,1.7152411937713623,1.050488829612732
resnet50,CNN,2,2,0,-0.08904588222503662,0.15331655740737915,66.40815734863281,66.40815734863281,0.4472113847732544,0.3642693758010864,0.15331655740737915,0.09838353097438812,0.08460479974746704,0.27120062708854675,0.12722179293632507
resnet50,CNN,2,2,1,-0.06540419906377792,1.507413625717163,71.35396575927734,71.35396575927734,1.523637294769287,1.3864691257476807,1.507413625717163,0.08624626696109772,0.8961900472640991,1.4228060245513916,1.1136083602905273
resnet50,CNN,2,3,0,-0.13883736729621887,0.1930634081363678,61.06050109863281,61.06050109863281,0.2446082979440689,0.2723628580570221,0.12875086069107056,0.09909971058368683,0.0899796262383461,0.12169775366783142,0.1930634081363678
resnet50,CNN,2,3,1,-0.08767152577638626,1.9261300563812256,85.31158447265625,85.31158447265625,1.9422730207443237,1.9412219524383545,1.9261300563812256,0.1735442578792572,1.2916254997253418,1.8352010250091553,1.7377383708953857
resnet50,CNN,2,4,0,-0.07012724131345749,0.29146599769592285,63.867462158203125,63.867462158203125,0.9383347034454346,0.3406751751899719,0.29146599769592285,0.06496096402406693,0.2904989719390869,0.3638390898704529,0.24585387110710144
resnet50,CNN,2,4,1,-0.05504445731639862,0.8197318315505981,37.027565002441406,37.027565002441406,0.9200315475463867,1.0236995220184326,0.7219250798225403,0.25749117136001587,0.7671422958374023,0.9561315178871155,0.8197318315505981
