detector,source,target,realized_fpr,tpr,self
fs_common,maxvit_t,vgg16,0.37,0.35333333333333333,False
fs_common,maxvit_t,vit_b_16,0.11666666666666667,0.4066666666666667,False
fs_common,mobilenet_v3_large,convnext_tiny,0.08666666666666667,0.8433333333333334,False
fs_common,mobilenet_v3_large,densenet121,0.23,0.21333333333333335,False
fs_common,mobilenet_v3_large,maxvit_t,0.05,0.88,False
fs_common,mobilenet_v3_large,mobilenet_v3_large,0.05,0.65,True
fs_common,mobilenet_v3_large,resnet50,0.0033333333333333335,0.82,False
fs_common,mobilenet_v3_large,swin_t,0.13,0.7433333333333333,False
fs_common,mobilenet_v3_large,vgg16,0.37,0.35333333333333333,False
fs_common,mobilenet_v3_large,vit_b_16,0.11666666666666667,0.4066666666666667,False
fs_common,resnet50,convnext_tiny,0.22333333333333333,0.8933333333333333,False
fs_common,resnet50,densenet121,0.37666666666666665,0.25666666666666665,False
fs_common,resnet50,maxvit_t,0.14,0.9133333333333333,False
fs_common,resnet50,mobilenet_v3_large,0.16666666666666666,0.74,False
fs_common,resnet50,resnet50,0.05,0.9033333333333333,True
fs_common,resnet50,swin_t,0.22666666666666666,0.79,False
fs_common,resnet50,vgg16,0.48333333333333334,0.4066666666666667,False
fs_common,resnet50,vit_b_16,0.21666666666666667,0.5,False
fs_common,swin_t,convnext_tiny,0.02,0.8033333333333333,False
fs_common,swin_t,densenet121,0.16,0.18666666666666668,False
fs_common,swin_t,maxvit_t,0.03,0.8366666666666667,False
fs_common,swin_t,mobilenet_v3_large,0.02,0.5666666666666667,False
fs_common,swin_t,resnet50,0.0,0.7366666666666667,False
fs_common,swin_t,swin_t,0.05,0.7066666666666667,True
fs_common,swin_t,vgg16,0.26,0.31666666666666665,False
fs_common,swin_t,vit_b_16,0.04666666666666667,0.3233333333333333,False
fs_common,vgg16,convnext_tiny,0.0,0.56,False
fs_common,vgg16,densenet121,0.03,0.11,False
fs_common,vgg16,maxvit_t,0.0033333333333333335,0.6733333333333333,False
fs_common,vgg16,mobilenet_v3_large,0.0,0.35,False
fs_common,vgg16,resnet50,0.0,0.49,False
fs_common,vgg16,swin_t,0.0033333333333333335,0.5366666666666666,False
fs_common,vgg16,vgg16,0.05,0.21,True
fs_common,vgg16,vit_b_16,0.0033333333333333335,0.12,False
fs_common,vit_b_16,convnext_tiny,0.02,0.8033333333333333,False
fs_common,vit_b_16,densenet121,0.16333333333333333,0.19,False
fs_common,vit_b_16,maxvit_t,0.03,0.84,False
fs_common,vit_b_16,mobilenet_v3_large,0.02,0.5666666666666667,False
fs_common,vit_b_16,resnet50,0.0,0.74,False
fs_common,vit_b_16,swin_t,0.05333333333333334,0.7066666666666667,False
fs_common,vit_b_16,vgg16,0.26,0.31666666666666665,False
fs_common,vit_b_16,vit_b_16,0.05,0.3233333333333333,True
fs_bit2,convnext_tiny,convnext_tiny,0.05,0.9166666666666666,True
fs_bit2,convnext_tiny,densenet121,0.37,0.7733333333333333,False
fs_bit2,convnext_tiny,maxvit_t,0.08333333333333333,0.9333333333333333,False
fs_bit2,convnext_tiny,mobilenet_v3_large,0.08333333333333333,0.8733333333333333,False
fs_bit2,convnext_tiny,resnet50,0.0033333333333333335,0.8466666666666667,False
fs_bit2,convnext_tiny,swin_t,0.09666666666666666,0.8766666666666667,False
fs_bit2,convnext_tiny,vgg16,0.6733333333333333,0.8566666666666667,False
fs_bit2,convnext_tiny,vit_b_16,0.19,0.7433333333333333,False
fs_bit2,densenet121,convnext_tiny,0.0,0.43333333333333335,False
fs_bit2,densenet121,densenet121,0.05,0.37333333333333335,True
fs_bit2,densenet121,maxvit_t,0.0,0.06333333333333334,False
fs_bit2,densenet121,mobilenet_v3_large,0.0,0.38666666666666666,False
fs_bit2,densenet121,resnet50,0.0,0.44666666666666666,False
fs_bit2,densenet121,swin_t,0.0,0.5466666666666666,False
fs_bit2,densenet121,vgg16,0.21666666666666667,0.6133333333333333,False
fs_bit2,densenet121,vit_b_16,0.0,0.1,False
fs_bit2,maxvit_t,convnext_tiny,0.03666666666666667,0.8533333333333334,False
fs_bit2,maxvit_t,densenet121,0.30333333333333334,0.74,False
fs_bit2,maxvit_t,maxvit_t,0.05,0.9133333333333333,True
fs_bit2,maxvit_t,mobilenet_v3_large,0.04666666666666667,0.8533333333333334,False
fs_bit2,maxvit_t,resnet50,0.0033333333333333335,0.8,False
fs_bit2,maxvit_t,swin_t,0.04666666666666667,0.8466666666666667,False
fs_bit2,maxvit_t,vgg16,0.6166666666666667,0.8133333333333334,False
